Company_name,Industry,Sub-Industry,Country
1Huddle,Consumer,"Gaming & eSports, Job & Career Service",United States
Oto Capital,Financial Technology,Credit & Lending,India
3D Look,Consumer,Fashion,United States
3desk,Software and Services,Human Resources & Recruiting,United Kingdom
3TEN8,Software and Services,Developer Tools,United States
4Vets,Consumer,Animals,Brazil
8sec,Consumer,Gaming & eSports,France
9FIN,Financial Technology,Asset Management,United Kingdom
9GAG,Consumer,"Social, Entertainment",Hong Kong
9Slides,Consumer,Media Content,United States
15Five,Software and Services,"Human Resources & Recruiting, Collaboration",United States
21 Market,Consumer,Home & Personal,"Korea, Republic of"
Perromart,Consumer,Animals,Singapore
28 labs,Healthcare,Medical Device & Monitoring,United States
33Cube,Consumer,Social,United States
